type,flagname,defaultvalue
bool,AdjustConcurrency,false
bool,AggressiveOpts,false
bool,AlignVector,false
bool,AllowJNIEnvProxy,false
bool,AllowNonVirtualCalls,false
bool,AllowParallelDefineClass,false
bool,AllowUserSignalHandlers,false
bool,AlwaysActAsServerClassMachine,false
bool,AlwaysCompileLoopMethods,false
bool,AlwaysLockClassLoader,false
bool,AlwaysPreTouch,false
bool,AlwaysRestoreFPU,false
bool,AlwaysTenure,false
bool,AssertOnSuspendWaitFailure,false
bool,BackgroundCompilation,true
bool,BindGCTaskThreadsToCPUs,false
bool,BlockLayoutByFrequency,true
bool,BlockLayoutRotateLoops,true
bool,BranchOnRegister,false
bool,BytecodeVerificationLocal,false
bool,BytecodeVerificationRemote,true
bool,C1OptimizeVirtualCallProfiling,true
bool,C1ProfileBranches,true
bool,C1ProfileCalls,true
bool,C1ProfileCheckcasts,true
bool,C1ProfileInlinedCalls,true
bool,C1ProfileVirtualCalls,true
bool,C1UpdateMethodData,true
bool,CICompilerCountPerCPU,false
bool,CITime,false
bool,CMSAbortSemantics,false
bool,CMSClassUnloadingEnabled,false
bool,CMSCleanOnEnter,true
bool,CMSCompactWhenClearAllSoftRefs,true
bool,CMSConcurrentMTEnabled,true
bool,CMSDumpAtPromotionFailure,false
bool,CMSExtrapolateSweep,false
bool,CMSIncrementalMode,false
bool,CMSIncrementalPacing,true
bool,CMSLoopWarn,false
bool,CMSOldPLABResizeQuicker,false
bool,CMSPLABRecordAlways,true
bool,CMSParallelRemarkEnabled,true
bool,CMSParallelSurvivorRemarkEnabled,true
bool,CMSPermGenPrecleaningEnabled,true
bool,CMSPrecleanRefLists1,true
bool,CMSPrecleanRefLists2,false
bool,CMSPrecleanSurvivors1,false
bool,CMSPrecleanSurvivors2,true
bool,CMSPrecleaningEnabled,true
bool,CMSPrintChunksInDump,false
bool,CMSPrintObjectsInDump,false
bool,CMSReplenishIntermediate,true
bool,CMSScavengeBeforeRemark,false
bool,CMSSplitIndexedFreeListBlocks,true
bool,CMSYield,true
bool,CheckJNICalls,false
bool,ClassUnloading,true
bool,ClipInlining,true
bool,CollectGen0First,false
bool,CompactFields,true
bool,CompilerThreadHintNoPreempt,true
bool,ConvertSleepToYield,true
bool,ConvertYieldToSleep,false
bool,CreateMinidumpOnCrash,false
bool,CriticalJNINatives,true
bool,DTraceAllocProbes,false
bool,DTraceMethodProbes,false
bool,DTraceMonitorProbes,false
bool,Debugging,false
bool,DeoptimizeRandom,false
bool,DisableAttachMechanism,false
bool,DisableExplicitGC,false
bool,DisplayVMOutputToStderr,false
bool,DisplayVMOutputToStdout,false
bool,DoEscapeAnalysis,true
bool,DontCompileHugeMethods,true
bool,DontYieldALot,false
bool,DumpSharedSpaces,false
bool,EagerXrunInit,false
bool,EliminateAllocations,true
bool,EliminateLocks,true
bool,EliminateNestedLocks,true
bool,EnableTracing,false
bool,EstimateArgEscape,true
bool,ExplicitGCInvokesConcurrent,false
bool,ExplicitGCInvokesConcurrentAndUnloadsClasses,false
bool,ExtendedDTraceProbes,false
bool,FLSAlwaysCoalesceLarge,false
bool,FailOverToOldVerifier,true
bool,FastTLABRefill,true
bool,FilterSpuriousWakeups,true
bool,ForceNUMA,false
bool,ForceTimeHighResolution,false
bool,G1UseAdaptiveConcRefinement,true
bool,GCLockerInvokesConcurrent,false
bool,HeapDumpAfterFullGC,false
bool,HeapDumpBeforeFullGC,false
bool,HeapDumpOnOutOfMemoryError,false
bool,IgnoreUnrecognizedVMOptions,false
bool,IncrementalInline,true
bool,Inline,true
bool,InsertMemBarAfterArraycopy,true
bool,JNIDetachReleasesMonitors,true
bool,JavaMonitorsInStackTrace,true
bool,LIRFillDelaySlots,false
bool,LazyBootClassLoader,true
bool,LoadExecStackDllInVMThread,true
bool,LoopUnswitching,true
bool,ManagementServer,false
bool,MaxFDLimit,true
bool,MethodFlushing,true
bool,MonitorInUseLists,false
bool,MustCallLoadClassInternal,false
bool,NUMAStats,false
bool,NeedsDeoptSuspend,false
bool,NeverActAsServerClassMachine,false
bool,NeverTenure,false
bool,OmitStackTraceInFastThrow,true
bool,OptimizeFill,true
bool,OptimizePtrCompare,true
bool,OptimizeStringConcat,true
bool,OptoBundling,false
bool,OptoScheduling,false
bool,PSChunkLargeArrays,true
bool,ParGCTrimOverflow,true
bool,ParGCUseLocalOverflow,false
bool,ParallelGCVerbose,false
bool,ParallelRefProcBalancingEnabled,true
bool,ParallelRefProcEnabled,false
bool,PartialPeelAtUnsignedTests,true
bool,PartialPeelLoop,true
bool,PerfAllowAtExitRegistration,false
bool,PerfBypassFileSystemCheck,false
bool,PerfDataSaveToFile,false
bool,PerfDisableSharedMem,false
bool,PreferInterpreterNativeStubs,false
bool,PreserveAllAnnotations,false
bool,PrintAdaptiveSizePolicy,false
bool,PrintCMSInitiationStatistics,false
bool,PrintClassHistogram,false
bool,PrintClassHistogramAfterFullGC,false
bool,PrintClassHistogramBeforeFullGC,false
bool,PrintCommandLineFlags,false
bool,PrintCompilation,false
bool,PrintConcurrentLocks,false
bool,PrintFlagsFinal,true
bool,PrintFlagsInitial,false
bool,PrintGC,false
bool,PrintGCApplicationConcurrentTime,false
bool,PrintGCApplicationStoppedTime,false
bool,PrintGCCause,false
bool,PrintGCDateStamps,false
bool,PrintGCDetails,false
bool,PrintGCTaskTimeStamps,false
bool,PrintGCTimeStamps,false
bool,PrintHeapAtGC,false
bool,PrintHeapAtGCExtended,false
bool,PrintHeapAtSIGBREAK,true
bool,PrintJNIGCStalls,false
bool,PrintJNIResolving,false
bool,PrintOldPLAB,false
bool,PrintOopAddress,false
bool,PrintPLAB,false
bool,PrintParallelOldGCPhaseTimes,false
bool,PrintPromotionFailure,false
bool,PrintReferenceGC,false
bool,PrintRevisitStats,false
bool,PrintSafepointStatistics,false
bool,PrintSharedSpaces,false
bool,PrintStringTableStatistics,false
bool,PrintTLAB,false
bool,PrintTenuringDistribution,false
bool,PrintTieredEvents,false
bool,PrintVMOptions,false
bool,PrintVMQWaitTime,false
bool,PrintWarnings,true
bool,ProfileInterpreter,true
bool,ProfileIntervals,false
bool,ProfileVM,false
bool,ProfilerPrintByteCodeStatistics,false
bool,ProfilerRecordPC,false
bool,RangeCheckElimination,true
bool,ReassociateInvariants,true
bool,ReduceBulkZeroing,true
bool,ReduceFieldZeroing,true
bool,ReduceInitialCardMarks,true
bool,ReduceSignalUsage,false
bool,ReflectionWrapResolutionErrors,true
bool,RegisterFinalizersAtInit,true
bool,RelaxAccessControlCheck,false
bool,RequireSharedSpaces,false
bool,ResizeOldPLAB,true
bool,ResizePLAB,true
bool,ResizeTLAB,true
bool,RestoreMXCSROnJNICalls,false
bool,RewriteBytecodes,true
bool,RewriteFrequentPairs,true
bool,SafepointTimeout,false
bool,ScavengeBeforeFullGC,true
bool,ShowMessageBoxOnError,false
bool,SplitIfBlocks,true
bool,StackTraceInThrowable,true
bool,StartAttachListener,false
bool,StressLdcRewrite,false
bool,SuppressFatalErrorMessage,false
bool,TLABStats,true
bool,ThreadPriorityVerbose,false
bool,TieredCompilation,false
bool,TimeLinearScan,false
bool,TraceBiasedLocking,false
bool,TraceClassLoading,false
bool,TraceClassLoadingPreorder,false
bool,TraceClassResolution,false
bool,TraceClassUnloading,false
bool,TraceDynamicGCThreads,false
bool,TraceGen0Time,false
bool,TraceGen1Time,false
bool,TraceLoaderConstraints,false
bool,TraceMonitorInflation,false
bool,TraceParallelOldGCTasks,false
bool,TraceSafepointCleanupTime,false
bool,TraceSuspendWaitFailures,false
bool,TransmitErrorReport,false
bool,UnlinkSymbolsALot,false
bool,Use486InstrsOnly,false
bool,UseAES,false
bool,UseAESIntrinsics,false
bool,UseAdaptiveGCBoundary,false
bool,UseAdaptiveGenerationSizePolicyAtMajorCollection,true
bool,UseAdaptiveGenerationSizePolicyAtMinorCollection,true
bool,UseAdaptiveNUMAChunkSizing,true
bool,UseAdaptiveSizeDecayMajorGCCost,true
bool,UseAdaptiveSizePolicy,true
bool,UseAdaptiveSizePolicyFootprintGoal,true
bool,UseAdaptiveSizePolicyWithSystemGC,false
bool,UseAddressNop,true
bool,UseAltSigs,false
bool,UseAutoGCSelectPolicy,false
bool,UseBiasedLocking,true
bool,UseBimorphicInlining,true
bool,UseBoundThreads,true
bool,UseCMSBestFit,true
bool,UseCMSCollectionPassing,true
bool,UseCMSCompactAtFullCollection,true
bool,UseCMSInitiatingOccupancyOnly,false
bool,UseCodeCacheFlushing,true
bool,UseCompiler,true
bool,UseCompilerSafepoints,true
bool,UseCompressedOops,true
bool,UseConcMarkSweepGC,false
bool,UseCondCardMark,false
bool,UseCountLeadingZerosInstruction,false
bool,UseCounterDecay,true
bool,UseDivMod,true
bool,UseDynamicNumberOfGCThreads,false
bool,UseFPUForSpilling,false
bool,UseFastAccessorMethods,false
bool,UseFastEmptyMethods,false
bool,UseFastJNIAccessors,true
bool,UseFastStosb,false
bool,UseG1GC,false
bool,UseGCLogFileRotation,false
bool,UseGCOverheadLimit,true
bool,UseGCTaskAffinity,false
bool,UseHeavyMonitors,false
bool,UseHugeTLBFS,false
bool,UseInlineCaches,true
bool,UseInterpreter,true
bool,UseJumpTables,true
bool,UseLWPSynchronization,true
bool,UseLargePages,false
bool,UseLargePagesIndividualAllocation,false
bool,UseLinuxPosixThreadCPUClocks,true
bool,UseLockedTracing,false
bool,UseLoopCounter,true
bool,UseLoopPredicate,true
bool,UseMaximumCompactionOnSystemGC,true
bool,UseMembar,false
bool,UseNUMA,false
bool,UseNUMAInterleaving,false
bool,UseNewLongLShift,false
bool,UseOSErrorReporting,false
bool,UseOldInlining,true
bool,UseOnStackReplacement,true
bool,UseOnlyInlinedBimorphic,true
bool,UseOprofile,false
bool,UseOptoBiasInlining,true
