type,flagname,defaultvalue
intx,AliasLevel,3
intx,AllocateInstancePrefetchLines,1
intx,AllocatePrefetchDistance,192
intx,AllocatePrefetchInstr,0
intx,AllocatePrefetchLines,4
intx,AllocatePrefetchStepSize,64
intx,AllocatePrefetchStyle,1
intx,Atomics,0
intx,AutoBoxCacheMax,128
intx,BCEATraceLevel,0
intx,BackEdgeThreshold,100000
intx,BiasedLockingBulkRebiasThreshold,20
intx,BiasedLockingBulkRevokeThreshold,40
intx,BiasedLockingDecayTime,25000
intx,BiasedLockingStartupDelay,4000
intx,BlockLayoutMinDiamondPercentage,20
intx,CICompilerCount,2
intx,CMSAbortablePrecleanWaitMillis,100
intx,CMSInitiatingOccupancyFraction,-1
intx,CMSInitiatingPermOccupancyFraction,-1
intx,CMSIsTooFullPercentage,98
intx,CMSMaxAbortablePrecleanTime,5000
intx,CMSTriggerPermRatio,80
intx,CMSTriggerRatio,80
intx,CMSWaitDuration,2000
intx,CMSYoungGenPerWorker,67108864
intx,ClearFPUAtPark,0
intx,CompilationPolicyChoice,0
intx,CompilationRepeat,0
intx,CompileThreshold,10000
intx,CompilerThreadPriority,-1
intx,CompilerThreadStackSize,0
intx,ConditionalMoveLimit,3
intx,DefaultThreadPriority,-1
intx,DeferPollingPageLoopCount,-1
intx,DeferThrSuspendLoopCount,4000
intx,EliminateAllocationArraySizeLimit,64
intx,EmitSync,0
intx,FenceInstruction,0
intx,FieldsAllocationStyle,1
intx,FreqInlineSize,325
intx,G1ConcRefinementGreenZone,0
intx,G1ConcRefinementRedZone,0
intx,G1ConcRefinementServiceIntervalMillis,300
intx,G1ConcRefinementThresholdStep,0
intx,G1ConcRefinementYellowZone,0
intx,G1RSetRegionEntries,0
intx,G1RSetSparseRegionEntries,0
intx,G1RSetUpdatingPauseTimePercent,10
intx,G1RefProcDrainInterval,10
intx,G1SATBBufferSize,1024
intx,G1UpdateBufferSize,256
intx,InitialTenuringThreshold,7
intx,InlineSmallCode,1000
intx,InteriorEntryAlignment,16
intx,InterpreterProfilePercentage,33
intx,JavaPriority10_To_OSPriority,-1
intx,JavaPriority1_To_OSPriority,-1
intx,JavaPriority2_To_OSPriority,-1
intx,JavaPriority3_To_OSPriority,-1
intx,JavaPriority4_To_OSPriority,-1
intx,JavaPriority5_To_OSPriority,-1
intx,JavaPriority6_To_OSPriority,-1
intx,JavaPriority7_To_OSPriority,-1
intx,JavaPriority8_To_OSPriority,-1
intx,JavaPriority9_To_OSPriority,-1
intx,LiveNodeCountInliningCutoff,20000
intx,LoopOptsCount,43
intx,LoopUnrollLimit,60
intx,LoopUnrollMin,4
intx,MarkSweepAlwaysCompactCount,4
intx,MaxBCEAEstimateLevel,5
intx,MaxBCEAEstimateSize,150
intx,MaxInlineLevel,9
intx,MaxInlineSize,35
intx,MaxJavaStackTraceDepth,1024
intx,MaxJumpTableSize,65000
intx,MaxJumpTableSparseness,5
intx,MaxLabelRootDepth,1100
intx,MaxLoopPad,11
intx,MaxNodeLimit,75000
intx,MaxRecursiveInlineLevel,1
intx,MaxTenuringThreshold,15
intx,MaxTrivialSize,6
intx,MaxVectorSize,32
intx,MinCodeCacheFlushingInterval,30
intx,MinInliningThreshold,250
intx,MinJumpTableSize,18
intx,MonitorBound,0
intx,MultiArrayExpandLimit,6
intx,NUMAChunkResizeWeight,20
intx,NUMAPageScanRate,256
intx,NUMASpaceResizeRate,1073741824
intx,NativeMonitorFlags,0
intx,NativeMonitorSpinLimit,20
intx,NativeMonitorTimeout,-1
intx,NewRatio,2
intx,NmethodSweepCheckInterval,5
intx,NmethodSweepFraction,16
intx,NodeLimitFudgeFactor,1000
intx,NumberOfLoopInstrToAlign,4
intx,ObjectAlignmentInBytes,8
intx,OnStackReplacePercentage,140
intx,OptoLoopAlignment,16
intx,ParGCArrayScanChunk,50
intx,ParallelGCBufferWastePct,10
intx,PartialPeelNewPhiDelta,0
intx,PerBytecodeRecompilationCutoff,200
intx,PerBytecodeTrapLimit,4
intx,PerMethodRecompilationCutoff,400
intx,PerMethodTrapLimit,100
intx,PerfDataMemorySize,32768
intx,PerfDataSamplingInterval,50
intx,PerfMaxStringConstLength,1024
intx,PreInflateSpin,10
intx,PrefetchCopyIntervalInBytes,576
intx,PrefetchFieldsAhead,1
intx,PrefetchScanIntervalInBytes,576
intx,PrintCMSStatistics,0
intx,PrintFLSCensus,0
intx,PrintFLSStatistics,0
intx,PrintSafepointStatisticsCount,300
intx,PrintSafepointStatisticsTimeout,-1
intx,ProfileIntervalsTicks,100
intx,ProfileMaturityPercentage,20
intx,QueuedAllocationWarningCount,0
intx,ReadPrefetchInstr,0
intx,RefDiscoveryPolicy,0
intx,SafepointPollOffset,256
intx,SafepointSpinBeforeYield,2000
intx,SafepointTimeoutDelay,10000
intx,SelfDestructTimer,0
intx,SoftRefLRUPolicyMSPerMB,1000
intx,StackRedPages,1
intx,StackShadowPages,20
intx,StackYellowPages,2
intx,StarvationMonitorInterval,200
intx,SurvivorRatio,8
intx,SuspendRetryCount,50
intx,SuspendRetryDelay,5
intx,SyncFlags,0
intx,SyncVerbose,0
intx,TargetPLABWastePct,10
intx,TargetSurvivorRatio,50
intx,ThreadPriorityPolicy,0
intx,ThreadStackSize,1024
intx,Tier0BackedgeNotifyFreqLog,10
intx,Tier0InvokeNotifyFreqLog,7
intx,Tier0ProfilingStartPercentage,200
intx,Tier23InlineeNotifyFreqLog,20
intx,Tier2BackEdgeThreshold,0
intx,Tier2BackedgeNotifyFreqLog,14
intx,Tier2CompileThreshold,0
intx,Tier2InvokeNotifyFreqLog,11
intx,Tier3BackEdgeThreshold,60000
intx,Tier3BackedgeNotifyFreqLog,13
intx,Tier3CompileThreshold,2000
intx,Tier3DelayOff,2
intx,Tier3DelayOn,5
intx,Tier3InvocationThreshold,200
intx,Tier3InvokeNotifyFreqLog,10
intx,Tier3LoadFeedback,5
intx,Tier3MinInvocationThreshold,100
intx,Tier4BackEdgeThreshold,40000
intx,Tier4CompileThreshold,15000
intx,Tier4InvocationThreshold,5000
intx,Tier4LoadFeedback,3
intx,Tier4MinInvocationThreshold,600
intx,TieredCompileTaskTimeout,50
intx,TieredRateUpdateMaxTime,25
intx,TieredRateUpdateMinTime,1
intx,TieredStopAtLevel,4
intx,TraceRedefineClasses,0
intx,TrackedInitializationLimit,50
intx,TypeProfileMajorReceiverPercent,90
intx,TypeProfileWidth,2
intx,UnguardOnExecutionViolation,0
intx,UseAVX,1
intx,UseSSE,4
intx,VMThreadPriority,-1
intx,VMThreadStackSize,1024
intx,ValueMapInitialSize,11
intx,ValueMapMaxLoopSize,8
intx,ValueSearchLimit,1000
intx,WorkAroundNPTLTimedWaitHang,1
intx,hashCode,0
