type,flagname,defaultvalue
uintx,AdaptivePermSizeWeight,20
uintx,AdaptiveSizeDecrementScaleFactor,4
uintx,AdaptiveSizeMajorGCDecayTimeScale,10
uintx,AdaptiveSizePausePolicy,0
uintx,AdaptiveSizePolicyCollectionCostMargin,50
uintx,AdaptiveSizePolicyInitializingSteps,20
uintx,AdaptiveSizePolicyOutputInterval,0
uintx,AdaptiveSizePolicyWeight,10
uintx,AdaptiveSizeThroughPutPolicy,0
uintx,AdaptiveTimeWeight,25
uintx,AutoGCSelectPauseMillis,5000
uintx,BaseFootPrintEstimate,268435456
uintx,CMSAbortablePrecleanMinWorkPerIteration,100
uintx,CMSBitMapYieldQuantum,10485760
uintx,CMSBootstrapOccupancy,50
uintx,CMSClassUnloadingMaxInterval,0
uintx,CMSConcMarkMultiple,32
uintx,CMSCoordinatorYieldSleepCount,10
uintx,CMSExpAvgFactor,50
uintx,CMSFullGCsBeforeCompaction,0
uintx,CMSIncrementalDutyCycle,10
uintx,CMSIncrementalDutyCycleMin,0
uintx,CMSIncrementalOffset,0
uintx,CMSIncrementalSafetyFactor,10
uintx,CMSIndexedFreeListReplenish,4
uintx,CMSMaxAbortablePrecleanLoops,0
uintx,CMSOldPLABMax,1024
uintx,CMSOldPLABMin,16
uintx,CMSOldPLABNumRefills,4
uintx,CMSOldPLABReactivityFactor,2
uintx,CMSOldPLABToleranceFactor,4
uintx,CMSParPromoteBlocksToClaim,16
uintx,CMSPrecleanDenominator,3
uintx,CMSPrecleanIter,3
uintx,CMSPrecleanNumerator,2
uintx,CMSPrecleanThreshold,1000
uintx,CMSRemarkVerifyVariant,1
uintx,CMSRescanMultiple,32
uintx,CMSRevisitStackSize,1048576
uintx,CMSSamplingGrain,16384
uintx,CMSScheduleRemarkEdenPenetration,50
uintx,CMSScheduleRemarkEdenSizeThreshold,2097152
uintx,CMSScheduleRemarkSamplingRatio,5
uintx,CMSWorkQueueDrainThreshold,10
uintx,CMSYieldSleepCount,0
uintx,CMS_FLSPadding,1
uintx,CMS_FLSWeight,75
uintx,CMS_SweepPadding,1
uintx,CMS_SweepTimerThresholdMillis,10
uintx,CMS_SweepWeight,75
uintx,CodeCacheExpansionSize,65536
uintx,CodeCacheFlushingMinimumFreeSpace,1536000
uintx,CodeCacheMinimumFreeSpace,512000
uintx,ConcGCThreads,0
uintx,DefaultMaxRAMFraction,4
uintx,ErgoHeapSizeLimit,0
uintx,FLSCoalescePolicy,2
uintx,G1ConcRSHotCardLimit,4
uintx,G1ConcRSLogCacheSize,10
uintx,G1ConcRefinementThreads,0
uintx,G1ConfidencePercent,50
uintx,G1HeapRegionSize,0
uintx,G1HeapWastePercent,10
uintx,G1MixedGCCountTarget,8
uintx,G1RSetScanBlockSize,64
uintx,G1ReservePercent,10
uintx,G1SATBBufferEnqueueingThresholdPercent,60
uintx,GCDrainStackTargetSize,64
uintx,GCHeapFreeLimit,2
uintx,GCLockerEdenExpansionPercent,5
uintx,GCLogFileSize,0
uintx,GCPauseIntervalMillis,0
uintx,GCTaskTimeStampEntries,200
uintx,GCTimeLimit,98
uintx,GCTimeRatio,99
uintx,HeapBaseMinAddress,2147483648
