type,flagname,default,min,max
uintx,AdaptiveSizeDecrementScaleFactor,4.0,2.0,6.0
uintx,AdaptiveSizeMajorGCDecayTimeScale,10.0,5.0,15.0
uintx,AdaptiveSizePausePolicy,0.0,0.0,0.0
uintx,AdaptiveSizePolicyCollectionCostMargin,50.0,25.0,75.0
uintx,AdaptiveSizePolicyInitializingSteps,20.0,10.0,30.0
uintx,AdaptiveSizePolicyOutputInterval,0.0,0.0,0.0
uintx,AdaptiveSizePolicyWeight,10.0,5.0,15.0
uintx,AdaptiveSizeThroughPutPolicy,0.0,0.0,0.0
uintx,AdaptiveTimeWeight,25.0,12.5,37.5
intx,AliasLevel,3.0,1.5,4.5
intx,AllocateInstancePrefetchLines,1.0,0.5,1.5
intx,AllocatePrefetchDistance,192.0,96.0,288.0
intx,AllocatePrefetchInstr,0.0,0.0,0.0
intx,AllocatePrefetchLines,4.0,2.0,6.0
intx,AllocatePrefetchStepSize,64.0,32.0,96.0
intx,AllocatePrefetchStyle,1.0,0.5,1.5
intx,AutoBoxCacheMax,128.0,64.0,192.0
uintx,AutoGCSelectPauseMillis,5000.0,2500.0,7500.0
intx,BCEATraceLevel,0.0,0.0,0.0
intx,BackEdgeThreshold,100000.0,50000.0,150000.0
uintx,BaseFootPrintEstimate,268435456.0,134217728.0,402653184.0
intx,BiasedLockingBulkRebiasThreshold,20.0,10.0,30.0
intx,BiasedLockingBulkRevokeThreshold,40.0,20.0,60.0
intx,BiasedLockingDecayTime,25000.0,12500.0,37500.0
intx,BiasedLockingStartupDelay,4000.0,2000.0,6000.0
intx,BlockLayoutMinDiamondPercentage,20.0,10.0,30.0
intx,CICompilerCount,3.0,1.5,4.5
uintx,CMSAbortablePrecleanMinWorkPerIteration,100.0,50.0,150.0
intx,CMSAbortablePrecleanWaitMillis,100.0,50.0,150.0
uintx,CMSBitMapYieldQuantum,10485760.0,5242880.0,15728640.0
uintx,CMSBootstrapOccupancy,50.0,25.0,75.0
uintx,CMSClassUnloadingMaxInterval,0.0,0.0,0.0
uintx,CMSConcMarkMultiple,32.0,16.0,48.0
uintx,CMSCoordinatorYieldSleepCount,10.0,5.0,15.0
uintx,CMSExpAvgFactor,50.0,25.0,75.0
uintx,CMSFullGCsBeforeCompaction,0.0,0.0,0.0
uintx,CMSIncrementalDutyCycle,10.0,5.0,15.0
uintx,CMSIncrementalDutyCycleMin,0.0,0.0,0.0
uintx,CMSIncrementalOffset,0.0,0.0,0.0
uintx,CMSIncrementalSafetyFactor,10.0,5.0,15.0
uintx,CMSIndexedFreeListReplenish,4.0,2.0,6.0
intx,CMSInitiatingOccupancyFraction,-1.0,-1.5,-0.5
uintx,CMSIsTooFullPercentage,98.0,49.0,147.0
double,CMSLargeCoalSurplusPercent,0.95,0.475,1.425
double,CMSLargeSplitSurplusPercent,1.0,0.5,1.5
uintx,CMSMaxAbortablePrecleanLoops,0.0,0.0,0.0
intx,CMSMaxAbortablePrecleanTime,5000.0,2500.0,7500.0
uintx,CMSOldPLABMax,1024.0,512.0,1536.0
uintx,CMSOldPLABMin,16.0,8.0,24.0
uintx,CMSOldPLABNumRefills,4.0,2.0,6.0
uintx,CMSOldPLABReactivityFactor,2.0,1.0,3.0
uintx,CMSOldPLABToleranceFactor,4.0,2.0,6.0
uintx,CMSParPromoteBlocksToClaim,16.0,8.0,24.0
uintx,CMSPrecleanDenominator,3.0,1.5,4.5
uintx,CMSPrecleanIter,3.0,1.5,4.5
uintx,CMSPrecleanNumerator,2.0,1.0,3.0
uintx,CMSPrecleanThreshold,1000.0,500.0,1500.0
uintx,CMSRemarkVerifyVariant,1.0,0.5,1.5
uintx,CMSRescanMultiple,32.0,16.0,48.0
uintx,CMSSamplingGrain,16384.0,8192.0,24576.0
uintx,CMSScheduleRemarkEdenPenetration,50.0,25.0,75.0
uintx,CMSScheduleRemarkEdenSizeThreshold,2097152.0,1048576.0,3145728.0
uintx,CMSScheduleRemarkSamplingRatio,5.0,2.5,7.5
double,CMSSmallCoalSurplusPercent,1.05,0.525,1.575
double,CMSSmallSplitSurplusPercent,1.1,0.55,1.65
intx,CMSTriggerInterval,-1.0,-1.5,-0.5
uintx,CMSTriggerRatio,80.0,40.0,120.0
intx,CMSWaitDuration,2000.0,1000.0,3000.0
uintx,CMSWorkQueueDrainThreshold,10.0,5.0,15.0
uintx,CMSYieldSleepCount,0.0,0.0,0.0
uintx,CMSYoungGenPerWorker,67108864.0,33554432.0,100663296.0
uintx,CMS_FLSPadding,1.0,0.5,1.5
uintx,CMS_FLSWeight,75.0,37.5,112.5
uintx,CMS_SweepPadding,1.0,0.5,1.5
uintx,CMS_SweepTimerThresholdMillis,10.0,5.0,15.0
uintx,CMS_SweepWeight,75.0,37.5,112.5
intx,ClearFPUAtPark,0.0,0.0,0.0
uintx,CodeCacheExpansionSize,65536.0,32768.0,98304.0
uintx,CodeCacheMinimumFreeSpace,512000.0,256000.0,768000.0
intx,CompilationPolicyChoice,3.0,1.5,4.5
intx,CompileThreshold,10000.0,5000.0,15000.0
intx,CompilerThreadPriority,-1.0,-1.5,-0.5
intx,CompilerThreadStackSize,0.0,0.0,0.0
uintx,CompressedClassSpaceSize,1073741824.0,536870912.0,1610612736.0
uintx,ConcGCThreads,0.0,0.0,0.0
intx,ConditionalMoveLimit,3.0,1.5,4.5
intx,ContendedPaddingWidth,128.0,64.0,192.0
uintx,DefaultMaxRAMFraction,4.0,2.0,6.0
intx,DefaultThreadPriority,-1.0,-1.5,-0.5
intx,DeferPollingPageLoopCount,-1.0,-1.5,-0.5
intx,DeferThrSuspendLoopCount,4000.0,2000.0,6000.0
intx,EliminateAllocationArraySizeLimit,64.0,32.0,96.0
intx,EmitSync,0.0,0.0,0.0
uintx,ErgoHeapSizeLimit,0.0,0.0,0.0
double,EscapeAnalysisTimeout,20.0,10.0,30.0
uintx,FLSCoalescePolicy,2.0,1.0,3.0
double,FLSLargestBlockCoalesceProximity,0.99,0.495,1.485
intx,FenceInstruction,0.0,0.0,0.0
intx,FieldsAllocationStyle,1.0,0.5,1.5
intx,FreqInlineSize,325.0,162.5,487.5
double,G1ConcMarkStepDurationMillis,10.0,5.0,15.0
uintx,G1ConcRSHotCardLimit,4.0,2.0,6.0
uintx,G1ConcRSLogCacheSize,10.0,5.0,15.0
intx,G1ConcRefinementGreenZone,0.0,0.0,0.0
intx,G1ConcRefinementRedZone,0.0,0.0,0.0
intx,G1ConcRefinementServiceIntervalMillis,300.0,150.0,450.0
uintx,G1ConcRefinementThreads,0.0,0.0,0.0
intx,G1ConcRefinementThresholdStep,0.0,0.0,0.0
intx,G1ConcRefinementYellowZone,0.0,0.0,0.0
uintx,G1ConfidencePercent,50.0,25.0,75.0
uintx,G1HeapRegionSize,0.0,0.0,0.0
uintx,G1HeapWastePercent,5.0,2.5,7.5
uintx,G1MixedGCCountTarget,8.0,4.0,12.0
intx,G1RSetRegionEntries,0.0,0.0,0.0
uintx,G1RSetScanBlockSize,64.0,32.0,96.0
intx,G1RSetSparseRegionEntries,0.0,0.0,0.0
intx,G1RSetUpdatingPauseTimePercent,10.0,5.0,15.0
intx,G1RefProcDrainInterval,10.0,5.0,15.0
uintx,G1ReservePercent,10.0,5.0,15.0
uintx,G1SATBBufferEnqueueingThresholdPercent,60.0,30.0,90.0
intx,G1SATBBufferSize,1024.0,512.0,1536.0
intx,G1UpdateBufferSize,256.0,128.0,384.0
uintx,GCDrainStackTargetSize,64.0,32.0,96.0
uintx,GCHeapFreeLimit,2.0,1.0,3.0
uintx,GCLockerEdenExpansionPercent,5.0,2.5,7.5
uintx,GCLogFileSize,8192.0,4096.0,12288.0
uintx,GCPauseIntervalMillis,0.0,0.0,0.0
uintx,GCTaskTimeStampEntries,200.0,100.0,300.0
uintx,GCTimeLimit,98.0,49.0,147.0
uintx,GCTimeRatio,99.0,49.5,148.5
uintx,HeapBaseMinAddress,2147483648.0,1073741824.0,3221225472.0
uintx,HeapFirstMaximumCompactionCount,3.0,1.5,4.5
uintx,HeapMaximumCompactionInterval,20.0,10.0,30.0
uintx,HeapSizePerGCThread,87241520.0,43620760.0,130862280.0
uintx,IncreaseFirstTierCompileThresholdAt,50.0,25.0,75.0
uintx,InitialBootClassLoaderMetaspaceSize,4194304.0,2097152.0,6291456.0
uintx,InitialCodeCacheSize,2555904.0,1277952.0,3833856.0
uintx,InitialHeapSize,127926272.0,63963136.0,191889408.0
uintx,InitialRAMFraction,64.0,32.0,96.0
uintx,InitialSurvivorRatio,8.0,4.0,12.0
uintx,InitialTenuringThreshold,7.0,3.5,10.5
uintx,InitiatingHeapOccupancyPercent,45.0,22.5,67.5
intx,InlineSmallCode,2000.0,1000.0,3000.0
intx,InteriorEntryAlignment,16.0,8.0,24.0
intx,InterpreterProfilePercentage,33.0,16.5,49.5
intx,JavaPriority10_To_OSPriority,-1.0,-1.5,-0.5
intx,JavaPriority1_To_OSPriority,-1.0,-1.5,-0.5
intx,JavaPriority2_To_OSPriority,-1.0,-1.5,-0.5
intx,JavaPriority3_To_OSPriority,-1.0,-1.5,-0.5
intx,JavaPriority4_To_OSPriority,-1.0,-1.5,-0.5
intx,JavaPriority5_To_OSPriority,-1.0,-1.5,-0.5
intx,JavaPriority6_To_OSPriority,-1.0,-1.5,-0.5
intx,JavaPriority7_To_OSPriority,-1.0,-1.5,-0.5
intx,JavaPriority8_To_OSPriority,-1.0,-1.5,-0.5
intx,JavaPriority9_To_OSPriority,-1.0,-1.5,-0.5
uintx,LargePageHeapSizeThreshold,134217728.0,67108864.0,201326592.0
uintx,LargePageSizeInBytes,0.0,0.0,0.0
intx,LiveNodeCountInliningCutoff,40000.0,20000.0,60000.0
intx,LoopMaxUnroll,16.0,8.0,24.0
intx,LoopOptsCount,43.0,21.5,64.5
intx,LoopUnrollLimit,60.0,30.0,90.0
intx,LoopUnrollMin,4.0,2.0,6.0
uintx,MarkStackSize,4194304.0,2097152.0,6291456.0
uintx,MarkStackSizeMax,536870912.0,268435456.0,805306368.0
uintx,MarkSweepAlwaysCompactCount,4.0,2.0,6.0
uintx,MarkSweepDeadRatio,1.0,0.5,1.5
intx,MaxBCEAEstimateLevel,5.0,2.5,7.5
intx,MaxBCEAEstimateSize,150.0,75.0,225.0
uintx,MaxDirectMemorySize,0.0,0.0,0.0
uintx,MaxGCMinorPauseMillis,1.84467440737e+19,9.22337203685e+18,2.76701161106e+19
