type,flagname,default,min,max
uintx,AdaptivePermSizeWeight,20,10,30
uintx,AdaptiveSizeDecrementScaleFactor,4,2,6
uintx,AdaptiveSizeMajorGCDecayTimeScale,10,5,15
uintx,AdaptiveSizePausePolicy,0,0,0
uintx,AdaptiveSizePolicyCollectionCostMargin,50,25,75
uintx,AdaptiveSizePolicyInitializingSteps,20,10,30
uintx,AdaptiveSizePolicyOutputInterval,0,0,0
uintx,AdaptiveSizePolicyWeight,10,5,15
uintx,AdaptiveSizeThroughPutPolicy,0,0,0
uintx,AdaptiveTimeWeight,25,13,37
intx,AliasLevel,3,2,4
intx,AllocateInstancePrefetchLines,1,1,1
intx,AllocatePrefetchDistance,-1,-2,0
intx,AllocatePrefetchInstr,0,0,0
intx,AllocatePrefetchLines,3,2,4
intx,AllocatePrefetchStepSize,16,8,24
intx,AllocatePrefetchStyle,1,1,1
intx,Atomics,0,0,0
intx,AutoBoxCacheMax,128,64,192
uintx,AutoGCSelectPauseMillis,5000,2500,7500
intx,BCEATraceLevel,0,0,0
intx,BackEdgeThreshold,100000,50000,150000
uintx,BaseFootPrintEstimate,268435456,134217728,402653184
intx,BiasedLockingBulkRebiasThreshold,20,10,30
intx,BiasedLockingBulkRevokeThreshold,40,20,60
intx,BiasedLockingDecayTime,25000,12500,37500
intx,BiasedLockingStartupDelay,4000,2000,6000
intx,BlockLayoutMinDiamondPercentage,20,10,30
intx,CICompilerCount,2,1,3
uintx,CMSAbortablePrecleanMinWorkPerIteration,100,50,150
intx,CMSAbortablePrecleanWaitMillis,100,50,150
uintx,CMSBitMapYieldQuantum,10485760,5242880,15728640
uintx,CMSBootstrapOccupancy,50,25,75
uintx,CMSClassUnloadingMaxInterval,0,0,0
uintx,CMSConcMarkMultiple,32,16,48
uintx,CMSCoordinatorYieldSleepCount,10,5,15
uintx,CMSExpAvgFactor,50,25,75
uintx,CMSFullGCsBeforeCompaction,0,0,0
uintx,CMSIncrementalDutyCycle,10,5,15
uintx,CMSIncrementalDutyCycleMin,0,0,0
uintx,CMSIncrementalOffset,0,0,0
uintx,CMSIncrementalSafetyFactor,10,5,15
uintx,CMSIndexedFreeListReplenish,4,2,6
intx,CMSInitiatingOccupancyFraction,-1,-2,0
intx,CMSInitiatingPermOccupancyFraction,-1,-2,0
intx,CMSIsTooFullPercentage,98,49,147
uintx,CMSMaxAbortablePrecleanLoops,0,0,0
intx,CMSMaxAbortablePrecleanTime,5000,2500,7500
uintx,CMSOldPLABMax,1024,512,1536
uintx,CMSOldPLABMin,16,8,24
uintx,CMSOldPLABNumRefills,4,2,6
uintx,CMSOldPLABReactivityFactor,2,1,3
uintx,CMSOldPLABToleranceFactor,4,2,6
uintx,CMSParPromoteBlocksToClaim,16,8,24
uintx,CMSPrecleanDenominator,3,2,4
uintx,CMSPrecleanIter,3,2,4
uintx,CMSPrecleanNumerator,2,1,3
uintx,CMSPrecleanThreshold,1000,500,1500
uintx,CMSRemarkVerifyVariant,1,1,1
uintx,CMSRescanMultiple,32,16,48
uintx,CMSRevisitStackSize,1048576,524288,1572864
uintx,CMSSamplingGrain,16384,8192,24576
uintx,CMSScheduleRemarkEdenPenetration,50,25,75
uintx,CMSScheduleRemarkEdenSizeThreshold,2097152,1048576,3145728
uintx,CMSScheduleRemarkSamplingRatio,5,3,7
intx,CMSTriggerPermRatio,80,40,120
intx,CMSTriggerRatio,80,40,120
intx,CMSWaitDuration,2000,1000,3000
uintx,CMSWorkQueueDrainThreshold,10,5,15
uintx,CMSYieldSleepCount,0,0,0
intx,CMSYoungGenPerWorker,67108864,33554432,100663296
uintx,CMS_FLSPadding,1,1,1
uintx,CMS_FLSWeight,75,38,112
uintx,CMS_SweepPadding,1,1,1
uintx,CMS_SweepTimerThresholdMillis,10,5,15
